address,group,tx_count,avg_interval,reused_ratio,high_fee
3JSYBfTap5aCo3iHyUunp8hWZcyCp5V2MJ,sextortion,2,9999,0.0,True
bc1q5tvvnwzhd96ep299vfcarq0vrkuudqu8wtpyny,other,8,9999,0.23,True
15AKuZPGMkdrpTGJwb87tnaqSyp91JSeeB,bitcointumbler,2,9999,0.0,True
1KoubBYwBpnaJ32yNG6Vydbi4k7MPxAJh4,other,2,9999,0.0,True
17sgjEQ4WPdKgK1nEnwvFsWGqEDpLtA1Pu,sextortion,8,9999,0.01,True
1EyAadxvFqjvG9swUeexQLFhTvdV6jBTbi,sextortion,9,9999,0.09,True
1KeCBKUgQDyyMpaXhfpRi2qUvyrjcsT44o,sextortion,9,9999,0.41,True
1Hct3uL3RfhiFmjMQ1uMDzx7SzK2KBnKUM,sextortion,50,9999,0.84,True
16wQWFeuMqysaaSSUMEyj3DXfccWHZQts9,bitcointumbler,25,9999,0.04,True
14s4i1WRPQ4BdwGtt38oumwdebKdvVdUfG,ransomware,9,9999,0.04,True
15Z4Y1q5QufvFPvRBKhwVhQyFTLwEQ5f4J,ransomware,9,9999,0.06,True
1M9guEeTFVRnHcMrajzP8FvpTu1SQohkT6,blackmailscam,9,9999,0.29,True
15ZHnf1MPn6ybb8yUeAoCQ1AJtiKhg3NrP,sextortion,24,9999,0.17,True
1HMsu3Dg3ocegPN2psqQtnsgZESeHVuxmN,sextortion,10,9999,0.17,True
1GxgoBst63XWHjN4EfBPo9AGiaANDvEuzF,blackmailscam,12,9999,0.09,True
1FH4HU6xhQnCbzYosP2N5HAa5aPJd7XxYZ,sextortion,2,9999,0.0,True
1L4xeix6RJrMUwNBZA9YSgfCZmHgPuN5pe,blackmailscam,7,9999,0.12,True
1DzM9y4fRgWqpZZCsvf5Rx4HupbE5Q5r4y,ransomware,20,9999,0.27,True
bc1q33luwl3dqxfq09lxy4lnmdvrddm3hmycxz3ysz,blackmailscam,50,9999,0.04,True
bc1q8al4y793rmadln5j6h2cgut77rtvhm26evscjl,other,50,9999,0.06,True
1425bbFBXW81ycj25PYMtRQtHKPVxfqgxj,blackmailscam,13,9999,0.08,True
1DyrpsBJnuZyUt6gpJK1Pmpq5zMetdPALt,ransomware,9,9999,0.03,True
1NWybUp8ZJXKyDg2DR5MaePspforMPYbM3,ransomware,28,9999,0.08,True
1FbN9mgTzppSUGRgBs1o7N8FpPQVfoRrKd,sextortion,16,9999,0.04,True
16rGyggURQvJw6RMwigDVzEGjjoCC5fZFP,blackmailscam,3,9999,0.02,True
15DMMwLTqV4RmYpJZDoNUZvzNikX1m6j4R,blackmailscam,6,9999,0.03,True
18HaRyfMr1WwuZcmyCjyAHDchDDzmnwYyo,sextortion,4,9999,0.03,True
1LM5VLTv7p57zwwABoveAw4hPSVMcL97YX,ransomware,13,9999,0.22,True
18vVjgfyC6sbLEEJvYHTXoWeuupZDtqyNs,sextortion,2,9999,0.0,True
13HCjYFfrZn55ufA8gHBwFRuTJbX5hyJvP,blackmailscam,4,9999,0.01,True
14LYbckmC9gKJ6LR1JAWaKSsCojZfURbzH,ransomware,2,9999,0.0,True
17YJKh4TNBDrgFKfbjbQHCGEmZH8uvFoVp,sextortion,5,9999,0.01,True
1Hn49MSipYVxNYPGv8dWsFGYshdtP2Tv66,blackmailscam,2,9999,0.0,True
1FLwiuF95C45se8VtxQ4g882Gfr7V3qQ3H,blackmailscam,2,9999,0.0,True
1HmfXeeMnxvGrXgJMKkan7UToT2jdZUv1a,blackmailscam,2,9999,0.0,True
1LNbJ4ajb89rCQ14Hi7SEjTisz15zMFXSp,blackmailscam,2,9999,0.0,True
1G87eBBHEHMGtQVoFKrs2x9pjFbZ4CaSeU,other,3,9999,0.02,True
bc1qqs5wsu8ejcvy66u2kxtgvm3d4unuy5uj7nzgp4,other,2,9999,0.0,True
3JuK2hLyRpNwjoChaaT2TJ3S28RpTqEtMb,other,7,9999,0.03,True
1C5ZC3ggaSHpPwzN6NCiaftqvcY1BPb4DY,sextortion,4,9999,0.17,True
1KnMcEqCTvQfMzEgnvfZvyprLPc2bnvMm8,blackmailscam,7,9999,0.08,True
14DvFghvkzQujf5Kd5AL2VKjxaYm5KidxR,sextortion,11,9999,0.28,True
1Eo9FKmAkNg8UAR4xj6F15Y53phFutzSys,darknetmarket,9,9999,0.34,True
1H9bS7Zb6LEANLkM8yiF8EsoGEtMEeLFvC,other,50,9999,0.12,True
bc1q3emm6rvx32sc3ry6prkw8fpgf9m2muyduaf05g,ransomware,2,9999,0.0,True
bc1q5hsl6ksskra3r5nxm502xmywypycmlyz8r5seh,blackmailscam,14,9999,0.43,True
35RQDxYio3Yh6xjwgSkobm321uAtoRc44C,sextortion,50,9999,0.2,True
1KisKSe8fmFqKo3s6gEcKB4R3LGNoivDX5,ransomware,2,9999,0.0,True
1GXazHVQUdJEtpe62UFozFibPa8ToDoUn3,bitcointumbler,25,9999,0.27,True
bc1q6x4kev9pefay37uctaq9ggqmxrg7a6txn2tanf,sextortion,15,9999,0.05,True
1465fmJRUwpczHH4gXVkk4Sdw8g9zcoQTd,blackmailscam,50,9999,0.05,True
12SRVD4tKyP4quAHNQLkH2c8sg1BvYvqBP,ransomware,6,9999,0.22,True
1N6dubqFmnyQ2qDWvi32ppVbc3kKMTYcGW,blackmailscam,50,9999,0.11,True
1KtMqDFfRiZ2EQyY6Bp3nSrt3zFaFpU54K,sextortion,50,9999,0.02,True
1FTJfkSLXj3JoWpW2ZKjk7FdWcTepWGQUC,ransomware,2,9999,0.0,True
1G6tobNb4DdEJxaaKxyivp2xdqCtdwhaSS,sextortion,2,9999,0.0,True
18z5c6TjLUosqPTEnm6q7Q2EVNgbCy16Td,blackmailscam,19,9999,0.18,True
3EdKW86y7uvrCLnFWtHVGLoBUGSaznb67v,blackmailscam,6,9999,0.03,True
198Yd5LmC5poXGHNr8ptesvcxkag3rgGsD,blackmailscam,50,9999,0.06,True
1BtSE7AXX5RuRRcnbhiM3qBwMhEYwxqBsm,blackmailscam,50,9999,0.97,True
1JwcRWAAJpLuyLpRDcqLMN5nbE8gmaMUjq,ransomware,3,9999,0.0,True
bc1qjx0w2e9k7dsguwvm4ypdkkgygx2nykwrlhnysm,blackmailscam,4,9999,0.01,True
