address,group,tx_count,avg_interval,reused_ratio,high_fee
12DA8mpQCnTB1cEHLPFU7ckP44zN5Xmgu3,bitcointumbler,22,9999,0.17,True
12EMaHiZG75ztkjUjuPZhQDcyW89qRJVuR,bitcointumbler,12,9999,0.08,True
bc1q4um02cf6jm35mhg9vsaqdg4ze20zprxzfc2hlm,bitcointumbler,50,9999,0.07,True
bc1qkd8h2rdz9t2u5zgl73cwfamur3792w82t4403v,bitcointumbler,50,9999,0.51,True
1L15W6b9vkxV81xW5HDtmMBycrdiettHEL,bitcointumbler,50,9999,0.87,True
1YnYAxprVrTo1WzPPzMo86ste5Ssp4xsy,darknetmarket,11,9999,0.32,True
13BayanqUPEBKHCmZuyyfZfQcK7rLvJRmq,bitcointumbler,2,9999,0.0,True
bc1q93v3y97r6h4rpf7jysam0jfpwf3zxmsauw4hqq,bitcointumbler,2,9999,0.0,True
1HB3KtKoguFuZ4BdmCv9Fc4tYTwDQgmqmW,bitcointumbler,11,9999,0.1,True
1D1DZAac5chXcvULdRAk8nbxB5HWWbffwc,darknetmarket,6,9999,0.25,True
1ByeGo4SAbNqL1qbvjWGu1nJLTRJpfuwGZ,darknetmarket,2,9999,0.02,True
15Z4Y1q5QufvFPvRBKhwVhQyFTLwEQ5f4J,bitcointumbler,9,9999,0.06,True
19PRxthVN1P9hsXcStqc2Kp8Yy4hXyXVau,bitcointumbler,10,9999,0.03,True
1NQr6dyy63yEEhYqe2Q6fN7wwNtd94ERAJ,bitcointumbler,50,9999,0.13,True
bc1q5cqemf86dg6xhfd3pze2ka86nd673fqsy8e02u,bitcointumbler,50,9999,0.05,True
1B5ic9iQpyafTEfWxHM4Xq6PkzbickrL8g,bitcointumbler,25,9999,0.01,True
1QK2CUmzTJLJcQaySnTP3WnwqpHN4VwVA4,bitcointumbler,14,9999,0.12,True
1Q3bj3y63wqXPGcsXhiC9N1YbYhF5euBBY,bitcointumbler,2,9999,0.0,True
3CdgR45KuQQxRVdotbyUaotqWHLyCTsjJq,darknetmarket,50,9999,0.07,True
bc1qc6l6gkktg5nr3gn85wftmk4wy7xg2ygkvcze0n,bitcointumbler,4,9999,0.14,True
